TOOLTIP_ACCE_ATTR_MAX_INFO	(μεγ. %s)
ITEM_REFUND_DESCRIPTION2	Τα παρακάτω αντικείμενα επαναφέρθηκαν.
SHOP_OFFLINE_TAKE_MONEY_DISPLAY	Πάρε %s
SHOP_OFFLINE_TAKE_MONEY_QUESTION	Πόσα θέλεις να τραβήξεις;
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY	Δεν μπορείς να τραβήξεις τόσα Yang γιατί θα περνούσαν το όριο
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY_NO_MONEY	Δεν έχεις Yang στο offline κατάστημα.
OFFLINE_SHOP_INPUT_PRICE_INFO_TEXT	Δώσε την τιμή για %s :
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_ITEMS	Πρέπει να αφαιρέσεις όλα τα αντικείμενα πρώτα.
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_MONEY	Πρέπει να τραβήξεις πρώτα τα Yang.
MONEY_INPUT_DIALOG_RECVPRICE	Παίρνεις: %s (%d%% φόρος)
MONEY_INPUT_DIALOG_SELLPRICE	Τιμή Πώλησης: %s
OFFLINE_SHOP_TIMEOUT_TEXT_TIMEOUT	Έληξε
RESIST_HUMAN	Αντίσταση σε ημιανθρώπους
RESIST_MONSTER	Αντίσταση σε τέρατα
OFFLINE_SHOP_TIMEOUT_TEXT	%s
SKILL_DEFEND_BONUS	Αντίσταση ικανοτήτων
NORMAL_HIT_DEFEND_BONUS	Αντίσταση μέσης ζημιάς
OFFLINE_SHOP_TIMEOUT_TEXT_NOTIMEOUT	Μόνιμο
DO_YOU_REALLY_BUY	Θες σίγουρα να αγοράσεις %s για[ENTER]%s %s?
OFFLINE_SHOP_ITEM_DISABLED	This feature is currently disabled in the mobile offline store due to an error. Once the bug has been fixed, the feature will be activated again.
OFFLINE_SHOP_CLOSE_QUESTION	Θες να κλείσεις το offline κατάστημα ;
SHOP_CANNOT_INSERT_ITEM_OFFLINE_SHOP_TIMEOUT	Το κατάστημα offline έχει κλείσει. Πρέπει να ανοίξεις ένα καινούριο για να πουλήσεις περισσότερα αντικείμενα.
UI_PREVPAGE	πίσω
UI_NEXTPAGE	Συνέχεια
PET_STAT_MAIN	Βασικό Bonus: %s
PET_STAT_POINTS	<TEXT color="0xFFDE8A31" text="Punkte |">%d<TEXT color="0xFFDE8A31" text="|">
TOOLTIP_APPLY_PET_EXP_BONUS	Pet-Erfahrung +%d%%	SA
TOOLTIP_APPLY_RESIST_MONSTER	Άμυνα ενάντια σε τέρατα  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Δυνατό ενάντια σε Metins  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Δυνατό ενάντια σε Boss  %d%%	SA
SIDEBAR_TOOLTIP_SHOP	Offline κατάστημα
SIDEBAR_TOOLTIP_GUILD_SAFEBOX	Αποθήκη συντεχνίας
SIDEBAR_TOOLTIP_MOUNT	Σύνοψη υποζυγίων
SIDEBAR_TOOLTIP_PET	Σύνοψη συντρόφων
SIDEBAR_TOOLTIP_SAFEBOX	Αποθήκη
TOOLTIP_ITEM_NO_TRADE	Αυτό το αντικείμενο δεν μπορεί να ανταλλαχθεί
TOOLTIP_ITEM_NO_DESTROY	Αυτό το αντικείμενο δεν είναι καταστροφικό.
ITEM_DROP_OR_DESTROY_BTN_DESTROY	Κατάστρεψε
ITEM_DROP_OR_DESTROY_BTN_DROP	Drop
CANNOT_DESTROY_ITEM	Αυτό το αντικείμενο δεν μπορεί να καταστραφεί.
SWITCHBOT_MAX_USE_SWITCHER_UNLIMITED	Απεριόριστο
SWITCHBOT_MAX_USE_QUESTION_TITLE	Μεγ. Αλλαγές
SWITCHBOT_MAX_USE_QUESTION_DESC	Εξακρίβωσε τον μέγιστο αριθμό μαγεμάτων (0=απεριόριστα_:
SIDEBAR_TOOLTIP_SWITCHBOT	Αυτόματο μάγεμα
STAT_TOOLTIP_CON10	Δεκαπλασιάζει το ΗΡ και την άμυνα
STAT_TOOLTIP_DEX10	Δεκαπλασιάζει την επίθεση και την αποφυγή
STAT_TOOLTIP_INT10	Δεκαπλασιάζει το SP τη Μαγική Επίθεση και Άμυνα
STAT_TOOLTIP_STR10	Δεκαπλασιάζει την άμυνα και την επίθεση
TOOLTIP_VOTE4BUFF	Ψήφος για Buff	SNA
TOOLTIP_ALIGNMENT_GOOD	Βαθμός:  5% δυνατό ενάντια σε τέρατα
TOOLTIP_ALIGNMENT_BAD	Βαθμός:  5% δυνατό ενάντια σε ημιανθρώπους
CHAT_OPEN_LINK_DANGER	Θες σίγουρα να ανοίξεις αυτόν τον σύνδεσμο; [ENTER] Μπορεί να περιέχει ιούς η κακόβουλο λογισμικό.
DRAGON_SOUL_CANNOT_REFINE	Δεν μπορείς να εξευγενίσεις αυτόν τον Δρακόλιθο.
DRAGON_SOUL_CANNOT_REFINE_MORE	Αυτός ο Δρακόλιθος βρίσκεται ήδη στο ανώτατο επίπεδο.
DRAGON_SOUL_EQUIP_WARNING1	Είναι δύσκολο να απομακρύνεις έναν Δρακόλιθο.
DRAGON_SOUL_EQUIP_WARNING2	Θέλεις να συνεχίσεις παρόλα αυτά;
DRAGON_SOUL_EXPIRED	Ληγμένος Δρακόλιθος
DRAGON_SOUL_INVALID_DRAGON_SOUL	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Αυτός δεν είναι ένας Δρακόλιθος.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό για εξευγενισμό.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ο Δρακόλιθος δεν ταιριάζει σε αυτήν τη θέση.
DRAGON_SOUL_STEP_LEVEL1	Καθαρότητα: ματ,
DRAGON_SOUL_STEP_LEVEL2	Καθαρότητα: διαφανές,
DRAGON_SOUL_STEP_LEVEL3	Καθαρότητα: ολοκάθαρο,
DRAGON_SOUL_STEP_LEVEL4	Καθαρότητα: εξαιρετικό,
DRAGON_SOUL_STEP_LEVEL5	Καθαρότητα: τέλειο,
DRAGON_SOUL_STRENGTH	Επίπεδο: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ο Δρακόλιθος μπορεί να καταστραφεί σε αυτήν την διαδικασία.
DRAGON_SOUL_UNEQUIP_WARNING2	Θέλεις να συνεχίσεις;
DRAGON_SOUL_UNMATCHED_SLOT	Αυτή είναι η λάθος θέση.
DRAGON_SOUL_UNQUALIFIED	Δεν μπορείς ακόμη να χρησιμοποιήσεις την Αλχημεία Δρακόλιθων.
TOOLTIP_DRAGON_SOUL_DECK1	Ουρανός	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Γη
PET_UPGRADE_ACCEPT_BUTTON_TEXT	Βελτίωση
PET_UPGRADE_ACCEPT_EVOLUTION_BUTTON_TEXT	Ανάπτυξε
PET_UPGRADE_CANCEL_BUTTON_TEXT	Ακύρωση
PET_UPGRADE_INFO_HAPPINESS	The higher the level of satisfaction, the longer your pet will be satisfied. [ENTER] At the next level it will take %s until your pet is completely dissatisfied.
PET_UPGRADE_INFO_RAGE	Όσο μεγαλύτερο είναι το επίπεδο για τόση περισσότερη ώρα σταματάει η οργή. [ENTER] Στο επόμενο επίπεδο η οργή θα σταματήσει %s.
PET_UPGRADE_INFO_STAMINA	Όσο μεγαλύτερο είναι το επίπεδο της αντοχής, τόσο μεγαλύτερη θα είναι και η αντοχή του κατοικιδίου σου. [EMTER] Στο επόμενο επίπεδο, το κατοικίδιο σου θα έχει αντοχή %d.
PET_UPGRADE_PRICE	Τιμή: %s
PET_UPGRADE_TEXT_BONUS1	%d μεγ. HP->%d μεγ. Hp
PET_UPGRADE_TEXT_BONUS2	%d Άμυνα->%d Άμυνα
PET_UPGRADE_TEXT_BONUS3	%d%% δυνατό σε τέρατα -> %d%% δυνατό σε τέραταα
PET_UPGRADE_TEXT_EVOLUTION	%s -> %s
PET_UPGRADE_TEXT_LEVEL	Επίπεδο %d-> Επίπεδο %d
PET_UPGRADE_TITLE_BONUS1	Βελτίωση: Μεγ. ΗΡ
PET_UPGRADE_TITLE_BONUS2	Βελτίωση: Άμυνα
PET_UPGRADE_TITLE_BONUS3	Βελτίωση: Δυνατό ενάντια σε τέρατα
PET_UPGRADE_TITLE_EVOLUTION	Εξέλιξη
PET_UPGRADE_TITLE_HAPPINESS	Βελτίωση: Ικανοποίηση
PET_UPGRADE_TITLE_RAGE	Βελτίωση: Οργή
PET_UPGRADE_TITLE_STAMINA	Βελτίωση: Αντοχή
KING_HORSE_UPGRADE_SUCCESS	Η αναβάθμιση ήταν επιτυχής
KING_HORSE_UPGRADE_FAIL	Η αναβάθμιση απέτυχε
HORSE_UPGRADE_INFO_RAGE	Όσο μεγαλύτερο είναι το επίπεδο για τόση περισσότερη ώρα σταματάει η οργή. [ENTER] Στο επόμενο επίπεδο η οργή θα σταματήσει %s.
TARGET_INFO_LEVELLIMIT	(από επίπεδο %d)
TARGET_INFO_DAMAGE	Ζημιά: %s-%s
TARGET_INFO_DEFENSE	Άμυνα: %s
TARGET_INFO_EXP	Εμπειρία: %s
TARGET_INFO_MAINRACE	Γένος: %s
TARGET_INFO_MAX_HP	Μέγιστο HP. %s
TARGET_INFO_NO_ITEM_TEXT	Δεν υπάρχει drop αντικειμένων
TARGET_INFO_NO_RACE	Όχι
TARGET_INFO_RACE_ANIMAL	Ζώα
TARGET_INFO_RACE_DARK	Σκότος
TARGET_INFO_RACE_DEVIL	Διάβολος
TARGET_INFO_RACE_EARTH	Γη
TARGET_INFO_RACE_ELEC	Αστραπή
TARGET_INFO_RACE_FIRE	Φωτιά
TARGET_INFO_RACE_HUMAN	Ημιάνθρωπος
TARGET_INFO_RACE_ICE	Πάγος
TARGET_INFO_RACE_MILGYO	Εσωτερικοί
TARGET_INFO_RACE_TREE	Tree
TARGET_INFO_RACE_ORC	Ορκ
TARGET_INFO_RACE_UNDEAD	Απέθαντος
TARGET_INFO_RACE_WIND	Άνεμος
TARGET_INFO_RACE_METIN	Πέτρα Metin
TARGET_INFO_STONE_NAME	Λίθος ψυχής
TARGET_INFO_SUBRACE	Ύπο-γένος: %s
ITEM_SUBTYPE_ARMOR_BODY	Πανοπλία
ITEM_SUBTYPE_ARMOR_EAR	Σκουλαρίκια
ITEM_SUBTYPE_ARMOR_FOOTS	Παππούτσια
ITEM_SUBTYPE_ARMOR_HEAD	Κράνος
ITEM_SUBTYPE_ARMOR_NECK	Περιδέραιο
ITEM_SUBTYPE_ARMOR_SHIELD	Ασπίδα
ITEM_SUBTYPE_ARMOR_WRIST	Βραχιόλι
ITEM_SUBTYPE_COSTUME_ACCE	Κορδέλα
ITEM_SUBTYPE_COSTUME_BODY	Πανοπλία
ITEM_SUBTYPE_COSTUME_HAIR	Κομμώση
ITEM_SUBTYPE_COSTUME_HAIR_M	Μαλλιά (αντρικά)
ITEM_SUBTYPE_COSTUME_HAIR_W	Μαλλιά (γυναικεία)
ITEM_SUBTYPE_COSTUME_MOUNT	Υποζύγιο
ITEM_SUBTYPE_DISABLED	----------------
ITEM_SUBTYPE_FISH_ALIVE	Ζωντανό
ITEM_SUBTYPE_FISH_GRILLED	Ψημένο
ITEM_SUBTYPE_MOUNT_SUB_FOOD	Τάισε
ITEM_SUBTYPE_MOUNT_SUB_REVIVE	Επαναφορά στη ζωή
ITEM_SUBTYPE_MOUNT_SUB_SUMMON	Πλάσμα
ITEM_SUBTYPE_NONE	Όλα
ITEM_SUBTYPE_NONE_DISPLAY	Διάλεξε υποκατηγορία
ITEM_SUBTYPE_SPHAERA_SUB_PACK	Πακέτο
ITEM_SUBTYPE_SPHAERA_SUB_TIME_ADD	Διαχείριση του Χρόνου
ITEM_SUBTYPE_WEAPON_ARROW	Βέλος
ITEM_SUBTYPE_WEAPON_BELL	Καμπάνα
ITEM_SUBTYPE_WEAPON_BOW	Τόξο
ITEM_SUBTYPE_WEAPON_DAGGER	Στιλέτο
ITEM_SUBTYPE_WEAPON_FAN	Βεντάλιες
ITEM_SUBTYPE_WEAPON_SWORD	Ξίφος
ITEM_SUBTYPE_WEAPON_TWO_HANDED	Δύο χεριών
ITEM_TYPE_ARMOR	Πανοπλία
ITEM_TYPE_COSTUME	Φορεσιά
ITEM_TYPE_FISH	Ψάρια
ITEM_TYPE_MATERIAL	Άλλο
ITEM_TYPE_METIN	Λίθος ψυχής
ITEM_TYPE_MOUNT	Υποζύγιο
ITEM_TYPE_NONE	Όλα
ITEM_TYPE_NONE_DISPLAY	Διάλεξε τύπο αντικειμένου
ITEM_TYPE_POLYMORPH	Μεταμόρφωση
ITEM_TYPE_QUEST	Αποστολή
ITEM_TYPE_WEAPON	Όπλο
TEXT_TYPE_ITEMNAME	Όνομα αντικειμένου
TEXT_TYPE_NONE	Δεν υπάρχει αναζήτηση
TEXT_TYPE_PLAYERNAME	Όνομα παίχτη
AUCTION_INFORMER_INFO_TEXT	Πούλησες %s για %s
AUCTION_INFORMER_INFO_MULTI_TEXT	Πούλησες %dx %s για %s.
AUCTION_INFORMER_RECEIVED_GOLD_TEXT	Θα πάρεις <TEXT color=0xFFCAA76F text="%s">.
AUCTION_GAME_MESSAGE_ITEM_BUY_NOT_EXIST	Αυτό το αντικείμενο πουλήθηκε
AUCTION_GAME_MESSAGE_ITEM_BUY_TIMEOUT	Ο χρόνος του αντικειμένου έχει τελειώσει.
AUCTION_GAME_MESSAGE_ITEM_BUY_SUCCESS	Απέκτησες επιτυχώς το αντικείμενο!
AUCTION_GAME_MESSAGE_ITEM_INSERT_SUCCESS	The item has been successfully discontinued.
AUCTION_GAME_MESSAGE_ITEM_PRICE_TOO_HIGH	You can't sell the item so expensive, because if you were to sell all the active items, you would'd over your Yanglimit.
AUCTION_GAME_MESSAGE_ITEM_TAKE_NOT_EXIST	Το αντικείμενο έχει ήδη πουληθεί
AUCTION_GAME_MESSAGE_ITEM_TAKE_SUCCESS	Αφαίρεσες το αντικείμενο επιτυχώς
AUCTION_GAME_MESSAGE_ITEM_WRONG_PRICE	Αυτό το αντικείμενο άλλαξε και δεν είναι διαθέσιμο στην παλιά του τιμή.
AUCTION_GAME_MESSAGE_NO_ITEMS_FOUND	Δεν βρέθηκαν αντικείμενα
AUCTION_ITEM_SUB_INFO	Τιμή: %s
AUCTION_MESSAGE_CANNOT_SELL_EQUIPPED_ITEM	Πρέπει να βάλεις το αντικείμενο στην αποθήκη πρώτα.
AUCTION_MESSAGE_INVALID_ANTIFLAG	Πρέπει να επιλέξεις τουλάχιστον μία κλάση.
AUCTION_MESSAGE_NOT_ENOUGH_MONEY	Δεν έχεις αρκετά χρήματα.
AUCTION_ORDER_TOOLTIP_TEXT_ASC	Αύξουσα
AUCTION_ORDER_TOOLTIP_TEXT_DESC	Φθίνουσα
AUCTION_PRICE_CHANGE_TOOLTIP_TEXT_ASC	Συνολική τιμή
AUCTION_PRICE_CHANGE_TOOLTIP_TEXT_DESC	Τιμή μονάδας
AUCTION_PRICE_DISPLAY_TEXT_ASC	Τιμή
AUCTION_PRICE_DISPLAY_TEXT_DESC	Τιμή μονάδας
AUCTION_QUESTION_REALLY_BUY_ITEM	Θες να αγοράσεις το αντικείμενο για %s ;
AUCTION_QUESTION_REALLY_BUY_ITEM_TITLE	Αγόρασε το αντικείμενο
AUCTION_QUESTION_REALLY_TAKE_ITEM	Είσαι σίγουρος ότι θες να αφαιρέσεις αυτό το αντικείμενο;
AUCTION_QUESTION_REALLY_TAKE_ITEM_TITLE	Αφαίρεσε το αντικείμενο
AUCTION_SELL_PRICE_DISPLAY	Τιμή: %s
AUCTION_SELL_REWARD_PRICE_DISPLAY	Παίρνεις: %s
AUCTION_PREMIUM_INFO_ACTIVE	Το Premium είναι ενεργό. Μπορείς να δεις όλα τα μαγαζιά από την αναζήτηση.
AUCTION_PREMIUM_INFO_INACTIVE	Το Premium είναι ανενεργό. Μπορείς να δεις μαγαζιά μόνο από τον χάρτη στον οποίο βρίσκεσαι. Αν βρεις κάποιο αντικείμενο το μαγαζί θα σημαδευτεί στον χάρτη. Με το Premium μπορείς να ψάξεις αντικείμενα από όλα τα καταστήματα.
AUCTION_PREMIUM_TEXT_ACTIVE	Premium ενεργό
AUCTION_PREMIUM_TEXT_INACTIVE	Premium ανενεργό
YES	Ναι
NO	Όχι
MOVE_CHANNEL_TITLE	Επιλογή καναλιού
MESSENGER_TEAM	Ομάδα
MESSENGER_BLOCK	Έχει αποκλειστεί.
MINI_GAME_RUMI_DISCARD_QUESTION	Θέλεις πραγματικά να πετάξεις την κάρτα;
MINI_GAME_RUMI_EXIT_QUESTION	Θέλεις να κλείσεις τον γύρο παιχνιδιού σου και να πάρεις τα κέρδη σου;\nΟι πόντοι σου και οι υπόλοιπες κάρτες σου θα μηδενιστούν!
MINI_GAME_RUMI_EXIT_QUESTION2	Η αμοιβή που θα λάβεις εξαρτάται από το σκορ σου.
MINI_GAME_RUMI_START_QUESTION	Για να μπορέσεις να παίξεις, πρέπει να πληρώσεις %d Yang. Θα χρειαστείς και %d σετ καρτών.\nΘέλεις να ξεκινήσεις;
ANGELSDEMONS_DESC_DEMONS	Περιγραφή: Δαίμονες [ENTER] Οι δαίμονες προσπαθούν να απομακρύνουν τους ανθρώπους από τον σωστό δρόμο, και απλώνουν το κακό.
JOIN	Συμμετοχή
ANGELSDEMONS_ARE_YOU_SURE	Είσαι σίγουρος ότι θες να επιλέξεις %s ;
MINI_GAME_RUMI_START_QUESTION2	Θα ήθελες να παίξεις;
DO_YOU_USE_MULTI_ITEM	Θες να ανοίξεις %dx %s;
QUIVER_ARROW_COUNT	Αριθμός: %s / %s
QUIVER_ARROW_TYPE	Βέλος: %s
QUIVER_NO_ARROWS	Δεν περιέχει βέλη
TOOLTIP_TIME_CHARGER_FIX	Ανανέωση χρόνου %d δευτ.	SA
TOOLTIP_TIME_CHARGER_PER	Ανανέωση χρόνου %d%%	SA
WEBWINDOW_TITLE_MALL	Itemshop
WANT_NOT_VOTE_AGAIN_TODAY	Δεν θες να ψηφίσεις σήμερα;
NOT_VOTE_AGAIN_TODAY	Όχι
WANT_VOTE_AGAIN_TODAY	Ναι
TOOLTIP_TIME	Διάρκεια: %s
TOOLTIP_TIME_RANGE	Διάρκεια %s έως %s
TOOLTIP_RANGE_APPLY_CRITICAL_PCT	Πιθανότητα κρίσιμου χτυπήματος  %d%% έως  %d%%
TOOLTIP_RANGE_APPLY_PENETRATE_PCT	%d%% έως %d%% πιθανότητα διάτρησης
TOOLTIP_RANGE_ATT_GRADE	Αξία επίθεσης  %d έως  %d
TOOLTIP_RANGE_ATT_SPEED	Ταχύτητα επίθεσης  %d%% έως  %d%%
TOOLTIP_RANGE_DEF_GRADE	Άμυνα  %d έως  %d
TOOLTIP_RANGE_POTION_BONUS	Φίλτρο %d%%- %d%% αύξηση εφέ
TOOLTIP_RANGE_RESIST_MAGIC	Μαγική αντίσταση %d%%-%d%%
SHOP_INPUT_TAKE_MONEY_TITLE	Πάρε Yang
TIME_MIN_SEC	%dΛεπτά:%dΔευτερόλεπτα
TIME_MIN	%d Λεπτά
CANNOT_CHANGE_FIGHT_MODE	You can't change the fight mode from this map.
AUCTION_GAME_MESSAGE_MARK_DONE	Το κατάστημα έχει σημαδευτεί
AUCTION_GAME_MESSAGE_MARK_NOT_FOUND	Το κατάστημα που πουλάει αυτό το αντικείμενο δεν βρέθηκε.
ATTRTREE_UPGRADE_ERROR	Χρειάζεσαι %s για αναβάθμιση
QUEST_TIMER_INFO	Χρόνος αποστολής
QUEST_TIMER_BIOLOG	Βιολόγος
QUEST_TIMER_AZRAEL	Άζραελ
QUEST_TIMER_DRAGON	Μπλέ Δράκος Beran
QUEST_TIMER_FLAME	Ράζαντορ
QUEST_TIMER_SNOW	Νεμερέ
QUEST_TIMER_SPIDER	Βαρόνη αράχνη
QUEST_TIMER_CATACOMB	Διαβολική κατακόμβη
QUEST_TIMER_MELEY	Φωλιά Μέλευ
QUEST_TIMER_WAITING	Περίμενε:
QUEST_TIMER_AVAILABLE	Διαθέσιμο!
OFFLINE_SHOP_CREATE_PRICE_FAIL	Χρειάζεσαι 100.000 Yang για να ανοίξεις ένα κατάστημα.
SELECT_METIN_DETACH_REMOVE_SELECT_STONE	Πρέπει να διαλέξεις μία εσοχή.
CANT_DETACH_NO_STONE	Δεν υπάρχει πέτρα που μπορεί να αφαιρεθεί σε αυτό το αντικείμενο
CANT_DETACH_NO_ATTR	Δεν υπάρχουν χαρακτηριστικά σε αυτό το αντικείμενο.
SELECT_ATTR_DETACH_REMOVE_SELECT_ATTR	Πρέπει να διαλέξεις μία ικανότητα.
SAFEBOX_NEW_CANNOT_OPEN_DELAY	Πρέπει να περιμένεις μέχρι να ξανά ανοίξεις αυτή τη σελίδα
TOOLTP_ELEMENT_NAME_ELECT	Στοιχείο κεραυνός
TOOLTP_ELEMENT_NAME_FIRE	Στοιχείο φωτιά
TOOLTP_ELEMENT_NAME_ICE	Στοιχείο πάγος
TOOLTP_ELEMENT_NAME_WIND	Στοιχείο άνεμος
TOOLTP_ELEMENT_NAME_EARTH	Στοιχείο: Γη
TOOLTP_ELEMENT_NAME_DARK	Στοιχείο Σκοτάδι
TOOLTIP_APPLY_RESIST_HUMAN	Αντίσταση σε Ημιανθρώπους %d%%	SA
OFFLINE_SHOP_RENEW_QUESTION	Θες να ξανά ανοίξεις το offline κατάστημά σου για %s ;
TOOLTIP_APPLY_ANTI_RESIST_MAGIC	Διάσπαση Μαγείας   %d%%
AUCTION_GAME_MESSAGE_MARK_DONE_PREMIUM	Το κατάστημα σημαδεύτηκε. Θες να αγοράσεις το αντικείμενο αμέσως για %s ;
AUCTION_GAME_MESSAGE_MARK_NOT_FOUND_PREMIUM	Το μαγαζί που πουλάει αυτό το αντικείμενο δεν βρέθηκε. Θες να αγοράσεις το αντικείμενο απευθείας για %s ;
TIMER_WARP_QUESTION	Θα ήθελες να τηλεμεταφερθείς; Θα σου κοστίσει 250.000 Yang
AUCTION_ITEM_TIMEOUT_INFO	Ο χρόνος έληξε
DO_YOU_SELL_MULTI_ITEM1	Θέλεις να πουλήσεις %d αντικείμενα για %s ;
DO_YOU_SELL_MULTI_ITEM2	Θες να πουλήσεις %d (%s) αντικείμενα για %s?
CANNOT_SELL_ITEM_ANTIFLAG	Δεν μπορείς να πουλήσεις αυτό το αντικείμενο
LOGIN_FAILURE_CHCLOSED	Αυτό το κανάλι είναι κλειστό για την ώρα.
EMPIREWAR_SCORE_TITLE	Κατηγοριοποίηση πολέμου αυτοκρατωριών
CHAT_COLOR_PALETTE	Επιλογή χρώματος μυνημάτων
CHAT_COLOR_PREMIUM_INFO	Το Premium είναι ανενεργό. Δεν μπορείς να διαλέξεις χρώμα για τη συζήτηση.Με το premium μπορείς να δώσεις χρώμα στα μηνύματα που στέλνεις στην κλήση.
GUILDWINDOW_GRADE_MELEY	Μπορεί να ξεκινήσει την κατακόμβη Μελευ
COMB_NOT_ALL_SLOT_APPEND_ITEM	Θα χρειαστείς το πρωτότυπο, τον παραλήπτη και το αντικείμενο μεταφοράς, για να μεταφέρεις μπόνους.
COMB_MATERIAL_ATTR_WILL_TRANSFER	Τα μπόνους της φορεσιάς 1 θα μεταφερθούν στη φορεσιά 2
COMB_IS_CONTINUE_PROCESS	Θέλεις να συνεχίσεις;
COMB_ITEM_NOTICE	Δεν μπορείς να ανοίξεις ιδιωτικό κατάστημα όσο μεταφέρεις μπόνους.
COMB_ITEM_NOTICE_NOT_OPEN	Δεν μπορείς να μεταφέρεις Μπόνους όσο κάνεις ανταλλαγή.
COMB_ITEM_NOTICE_NOT_OPEN2	Δεν μπορείς να μεταφέρεις bonus μέχρι να εξευγενίσεις τον εξομπλισμο σου.
TOOLTIP_APPLY_BLOCK_IGNORE_BONUS	Αγνόηση απόκρουσης %d%%	SA
TOOLTIP_PREMIUM_STATIC	Premium Ενεργό	SNA
GUILD_NAME_INFO	The Guild name can use special characters. The maximum length of the name is 20 characters. [Space].,_-*+~#?\\=}()[]{/&%$§!°^<>|;:ß@€
MESSENGER_ADD_BLOCK_FRIEND	Προσθήκη
BOSS_HUNT_POINTS	Πόντοι:
TARGET_BUTTON_BLOCK	Αποκλεισμός
TARGET_BUTTON_UNBLOCK	Άρση αποκλεισμού
RUNE_GROUP_1_DESC	Δυνάμωσε τις κανονικές σου επιθέσεις
RUNE_GROUP_1_NAME	Ακρίβεια
RUNE_GROUP_2_NAME	Κυριαρχία
RUNE_GROUP_2_DESC	Δυνάμωσε τις επιθέσεις σου ενάντια σε τέρατα
RUNE_GROUP_3_NAME	Μαγεία
RUNE_GROUP_3_DESC	Δυνάμωσε τις ικανότητές σου
RUNE_GROUP_4_NAME	Αποφασιτικότητα
RUNE_GROUP_4_DESC	Δυνάμωσε την άμυνά σου
RUNE_GROUP_5_NAME	Inspiration
RUNE_GROUP_5_DESC	Δυνάμωσε τους φίλους σου
SUB_RUNE_NOGROUP_DESC	Διάλεξε ένα μονοπάτι για να επιλέξεις επιπλέον ρούνους
QUEST_TIMER_ORKMAZE	Λαβύρινθος Ορκ
ALCHEMY_ACTIVATED	Η σελίδα αλχημείας %s έχει ενεργοποιηθεί. Με το ίδιο κουμπί μπορείς να την απενεργοποιήσεις
ALCHEMY_DEACTIVATED	Η αλχημεία έχει απενεργοποιηθεί.
CHANNEL_GENERAL	Γενικό
COSTUME_VIEWER	Περίληψη
QUEST_TIMER_SHIPDEFENSE	Υπεράσπιση Πλοίου
QUEST_TIMER_JOTUN	Jotun Thrym
QUEST_TIMER_CRYSTALL	Σπηλιά των κρυστάλλινων δράκων
QUEST_TIMER_REWARDS	Ανταμοιβές
QUEST_TIMER_GROUPREQ	Αίτημα ομάδας:
QUEST_TIMER_MINLVL	Απαιτούμενο επίπεδο
QUEST_TIMER_COOLDOWN	Χρόνος κρυώματος:
QUEST_TIMER_DUNGEON_DESC	Περιγραφή Κατακόμβης
QUEST_TIMER_QUESTITEM	Αντικείμενο αποστολής
QUEST_TIMER_PASSAGETICKET	Εισιτήριο μεταφοράς
QUEST_TIMER_BIOLOGREADY	Έτοιμος για ανάλυση
QUEST_TIMER_LOCKED	Κλειστό
QUEST_TIMER_CURRENT	Παρόν επίπεδο αποστολής:
TOOLTIP_HYDRA_DEBUFF	Κατάρα της Ύδρας
ACCE_WINDOW_CANT_ABSORB	Μία φορεσιά δεν μπορεί να απορροφήσει μπόνους.
PERMANENT	Μόνιμο
RUNE_KEYSTONE_NAME_1	Tribushit
BUY_POINTS	Αγόρασε πόντους
TOOLTIP_APPLY_EXP_REAL_BONUS	Μπόνους εμπειρίας %d%%
RUNE_KEYSTONE_NAME_2	Αύξηση πίεσης
RUNE_KEYSTONE_NAME_3	Κρύα Πόδια
RUNE_KEYSTONE_NAME_4	Μέση ζημιά
RUNE_KEYSTONE_NAME_5	Ζημιά Sp
RUNE_KEYSTONE_NAME_6	Απόσταση
RUNE_KEYSTONE_NAME_7	Δηληττηρίασης
RUNE_KEYSTONE_NAME_8	Καθυστέρηση
RUNE_KEYSTONE_NAME_9	Λιποθυμία
RUNE_KEYSTONE_NAME_10	Αξία επίθεσης
RUNE_KEYSTONE_NAME_11	Αξία μαγικής επίθεσης
RUNE_KEYSTONE_NAME_12	Ζημιά κρίσιμων χτυπημάτων
RUNE_KEYSTONE_NAME_13	Κεραυνός
RUNE_KEYSTONE_NAME_14	Φλας!
RUNE_KEYSTONE_NAME_15	Κλέυτης Ψυχών
RUNE_KEYSTONE_NAME_16	Τέρατα
RUNE_KEYSTONE_NAME_17	Διάβολος
RUNE_KEYSTONE_NAME_18	Orc
